strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
Exp_Best_A30_R05_S008_T025,best_combo,"ADX=30 ATR=0.5 SL=-0.08 Trail=0.25",1103,0.09,1024.388,102.44,0.43,1.13,33.36,30.8,0,11.97,2.51,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.08,""trail_offset"":0.25}"
Exp_Best_A30_R05_S008_T03,best_combo,"ADX=30 ATR=0.5 SL=-0.08 Trail=0.3",1082,0.14,1559.001,155.90,0.52,1.16,32.01,29.5,0,16.26,3.06,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.08,""trail_offset"":0.3}"
Exp_Best_A30_R05_S008_T035,best_combo,"ADX=30 ATR=0.5 SL=-0.08 Trail=0.35",1056,0.16,1733.021,173.30,0.52,1.17,35.38,28.3,0,17.49,3.18,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.08,""trail_offset"":0.35}"
Exp_Best_A30_R05_S01_T025,best_combo,"ADX=30 ATR=0.5 SL=-0.1 Trail=0.25",1095,0.22,2381.798,238.18,0.66,1.20,20.90,34.7,0,21.57,2.51,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.1,""trail_offset"":0.25}"
Exp_Best_A30_R05_S01_T03,best_combo,"ADX=30 ATR=0.5 SL=-0.1 Trail=0.3",1072,0.37,3929.941,392.99,0.76,1.25,11.96,33.5,0,29.14,2.85,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.1,""trail_offset"":0.3}"
Exp_Best_A30_R05_S01_T035,best_combo,"ADX=30 ATR=0.5 SL=-0.1 Trail=0.35",1040,0.41,4237.896,423.79,0.74,1.25,13.17,32.2,0,30.40,2.84,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.1,""trail_offset"":0.35}"
Exp_Best_A30_R05_S012_T025,best_combo,"ADX=30 ATR=0.5 SL=-0.12 Trail=0.25",1093,0.15,1602.128,160.21,0.48,1.14,15.29,36.3,0,16.57,1.65,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.12,""trail_offset"":0.25}"
Exp_Best_A30_R05_S012_T03,best_combo,"ADX=30 ATR=0.5 SL=-0.12 Trail=0.3",1070,0.29,3091.578,309.16,0.64,1.20,15.47,35.1,0,25.34,2.09,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.12,""trail_offset"":0.3}"
Exp_Best_A30_R05_S012_T035,best_combo,"ADX=30 ATR=0.5 SL=-0.12 Trail=0.35",1037,0.4,4097.469,409.75,0.66,1.22,16.81,34.2,0,29.83,2.17,"{""adx_min"":30,""atr_mult"":0.5,""stoploss"":-0.12,""trail_offset"":0.35}"
Exp_Best_A30_R07_S008_T025,best_combo,"ADX=30 ATR=0.7 SL=-0.08 Trail=0.25",921,0.12,1112.252,111.23,0.43,1.15,22.89,31.2,0,12.73,2.61,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.08,""trail_offset"":0.25}"
