strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
V3_NB_SL006,newbase_opt,"NB+SL=-0.06",1231,0.2,2419.62,241.96,0.66,1.20,22.77,24.5,0,21.79,4.68,"{""stoploss"":-0.06}"
V3_NB_SL008,newbase_opt,"NB+SL=-0.08",1216,0.51,6212.132,621.21,0.88,1.27,13.92,29.5,0,37.26,3.58,"{""stoploss"":-0.08}"
V3_NB_SL012,newbase_opt,"NB+SL=-0.12",1208,0.92,11105.747,1110.57,0.89,1.28,20.60,34.7,0,49.14,2.35,"{""stoploss"":-0.12}"
V3_NB_SL015,newbase_opt,"NB+SL=-0.15",1194,1.43,17068.866,1706.89,0.93,1.31,16.53,37.2,0,59.03,2.07,"{""stoploss"":-0.15}"
V3_NB_Lev3,newbase_opt,"NB+Lev=3",1070,0.55,5930.124,593.01,0.95,1.35,11.66,37.2,0,36.39,2.70,"{""leverage"":3.0}"
V3_NB_Lev4,newbase_opt,"NB+Lev=4",1145,0.63,7157.321,715.73,0.88,1.29,18.77,34.6,0,40.00,2.65,"{""leverage"":4.0}"
V3_NB_Lev7,newbase_opt,"NB+Lev=7",1299,0.44,5740.171,574.02,0.71,1.19,20.97,29.5,0,35.78,2.69,"{""leverage"":7.0}"
V3_NB_TP025,newbase_opt,"NB+TP=0.25",1211,0.98,11892,1189.20,0.99,1.32,17.85,33.6,0,50.65,2.85,"{""tp_big"":0.25}"
V3_NB_TP03,newbase_opt,"NB+TP=0.3",1211,1.02,12409.076,1240.91,1.00,1.33,17.35,33.0,0,51.61,2.91,"{""tp_big"":0.3}"
V3_NB_TP05,newbase_opt,"NB+TP=0.5",1211,1.02,12369.781,1236.98,1.00,1.33,17.36,33.0,0,51.54,2.91,"{""tp_big"":0.5}"
V3_NB_TP06,newbase_opt,"NB+TP=0.6",1211,1.02,12369.781,1236.98,1.00,1.33,17.36,33.0,0,51.54,2.91,"{""tp_big"":0.6}"
V3_NB_DC14,newbase_opt,"NB+DC=14",1234,1.04,12830.174,1283.02,1.05,1.34,18.20,32.9,0,52.36,3.01,"{""dc_period"":14}"
V3_NB_DC16,newbase_opt,"NB+DC=16",1221,1.08,13241.48,1324.15,1.03,1.34,17.36,33.0,0,53.08,2.93,"{""dc_period"":16}"
V3_NB_DC25,newbase_opt,"NB+DC=25",1204,1.05,12615.071,1261.51,1.00,1.33,17.35,33.1,0,51.98,2.90,"{""dc_period"":25}"
V3_NB_DC30,newbase_opt,"NB+DC=30",1202,1.04,12557.652,1255.77,1.01,1.34,17.39,33.2,0,51.88,2.92,"{""dc_period"":30}"
V3_NB_CD12,newbase_opt,"NB+CD=12",1242,0.77,9534.421,953.44,0.94,1.29,17.35,32.4,0,45.86,2.89,"{""cooldown_bars"":12}"
V3_NB_CD36,newbase_opt,"NB+CD=36",1187,0.98,11669.909,1166.99,0.99,1.33,17.35,33.0,0,50.24,2.93,"{""cooldown_bars"":36}"
V3_NB_CD48,newbase_opt,"NB+CD=48",1170,1.02,11951.616,1195.16,0.98,1.33,17.36,33.2,0,50.77,2.91,"{""cooldown_bars"":48}"
V3_NB_Combo_A26R05O035,newbase_opt,"NB+A26_R0.5_O0.35",1299,1.01,13076.095,1307.61,0.94,1.29,16.20,31.6,0,52.79,2.74,"{""adx_min"":26,""atr_mult"":0.5,""trail_offset"":0.35}"
V3_NB_Combo_A28R06O035,newbase_opt,"NB+A28_R0.6_O0.35",1073,1.19,12778.389,1277.84,0.95,1.36,16.41,32.5,0,52.27,3.00,"{""adx_min"":28,""atr_mult"":0.6,""trail_offset"":0.35}"
V3_NB_Combo_A30R05O035,newbase_opt,"NB+A30_R0.5_O0.35",1063,0.97,10311.686,1031.17,0.89,1.33,13.49,32.1,0,47.53,2.95,"{""adx_min"":30,""atr_mult"":0.5,""trail_offset"":0.35}"
V3_NB_Combo_A28R05O04,newbase_opt,"NB+A28_R0.5_O0.4",1143,1.19,13576.921,1357.69,0.94,1.35,17.92,31.3,0,53.65,2.93,"{""adx_min"":28,""atr_mult"":0.5,""trail_offset"":0.4}"
V3_NB_Combo_A28R05O05,newbase_opt,"NB+A28_R0.5_O0.5",1101,1.15,12648.165,1264.82,0.91,1.35,17.89,31.2,0,52.04,2.90,"{""adx_min"":28,""atr_mult"":0.5,""trail_offset"":0.5}"
V3_NB_Combo_A26R06O04,newbase_opt,"NB+A26_R0.6_O0.4",1174,1.06,12471.461,1247.15,0.89,1.31,15.86,30.7,0,51.72,2.81,"{""adx_min"":26,""atr_mult"":0.6,""trail_offset"":0.4}"
V3_NB_Combo_A30R06O04,newbase_opt,"NB+A30_R0.6_O0.4",961,0.89,8547.242,854.72,0.85,1.36,12.71,30.8,0,43.57,2.98,"{""adx_min"":30,""atr_mult"":0.6,""trail_offset"":0.4}"
V3_NB_SOT_00803503,newbase_opt,"NB+S-0.08_O0.35_T0.3",1182,0.57,6684.224,668.42,0.91,1.30,12.83,29.2,0,38.66,3.67,"{""stoploss"":-0.08,""trail_offset"":0.35,""tp_big"":0.3}"
V3_NB_SOT_0080403,newbase_opt,"NB+S-0.08_O0.4_T0.3",1167,0.55,6467.531,646.75,0.91,1.30,12.82,29.0,0,38.03,3.62,"{""stoploss"":-0.08,""trail_offset"":0.4,""tp_big"":0.3}"
