strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W3,test,20250101-20260401,128,33.62,0.81,1.47,10.33,26.17,3.96
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W1,train,20200101-20230101,533,197.02,0.93,1.30,15.01,43.94,4.31
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W1,test,20230101-20240101,187,45.05,0.94,1.31,18.92,45.05,5.69
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W2,train,20210101-20240101,544,177.12,0.86,1.29,19.02,40.46,4.44
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W2,test,20240101-20250101,164,25.45,0.97,1.34,20.26,25.38,4.80
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W3,train,20220101-20250101,457,88.17,0.70,1.27,21.86,23.43,3.77
V6_E7_P001,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.5",W3,test,20250101-20260401,171,38.52,0.95,1.41,11.91,29.87,4.08
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W1,train,20200101-20230101,555,219.94,1.02,1.32,11.82,47.56,4.58
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W1,test,20230101-20240101,196,47.48,1.00,1.32,21.94,47.48,6.07
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W2,train,20210101-20240101,567,203.58,0.94,1.31,21.96,44.80,4.71
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W2,test,20240101-20250101,168,25.25,0.97,1.33,21.00,25.17,4.78
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W3,train,20220101-20250101,476,93.85,0.73,1.27,21.91,24.66,3.91
V6_E7_P002,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.6",W3,test,20250101-20260401,175,41.88,1.01,1.43,11.49,32.40,4.33
